308,#
50,include
221,<
100,iostream
220,>
25,using
47,namespace
100,std
309,;
35,void
53,main
301,(
302,)
303,{
8,int
100,id1
233,,
100,id3
309,;
9,char
100,id2
309,;
10,double
100,id4
309,;
100,id1
222,=
200,101
309,;
100,id3
222,=
200,0
309,;
100,id2
222,=
200,1100000
309,;
3,while
301,(
100,id3
221,<
200,101
302,)
303,{
100,id3
222,=
100,id3
201,+
200,1
309,;
304,}
1,if
301,(
100,id3
218,==
200,101
302,)
303,{
100,id1
222,=
200,10
309,;
100,id3
222,=
200,0
309,;
100,id4
222,=
200,0
309,;
304,}
2,else
303,{
100,id1
222,=
200,110
309,;
100,id2
222,=
100,id1
202,-
100,id3
309,;
304,}
304,}
